Price Date,Max Price
20-10-2012,1111
22-10-2012,1372
23-10-2012,1390
25-10-2012,1302
26-10-2012,1309
27-10-2012,1450
27-10-2012,651
29-10-2012,1575
29-10-2012,1375
30-10-2012,1456
31-10-2012,1397
01-11-2012,1750
01-11-2012,1327
02-11-2012,1200
05-11-2012,1291
06-11-2012,1281
07-11-2012,1268
08-11-2012,1255
09-11-2012,1085
15-11-2012,1500
17-11-2012,1600
19-11-2012,1150
20-11-2012,1178
21-11-2012,1270
22-11-2012,1900
22-11-2012,1211
23-11-2012,1241
26-11-2012,1215
27-11-2012,1217
29-11-2012,1186
30-11-2012,1172
03-12-2012,1190
04-12-2012,1220
05-12-2012,1211
06-12-2012,1120
07-12-2012,1051
10-12-2012,1148
12-12-2012,1145
14-12-2012,1009
17-12-2012,1030
18-12-2012,1162
19-12-2012,976
21-12-2012,880
24-12-2012,1675
26-12-2012,1264
27-12-2012,1700
10-01-2013,1525
04-02-2013,1821
07-02-2013,1852
08-02-2013,1859
11-02-2013,1581
12-02-2013,1480
13-02-2013,1531
14-02-2013,1452
15-02-2013,1252
18-02-2013,1481
21-02-2013,1452
22-02-2013,1395
25-02-2013,1415
27-02-2013,1304
28-02-2013,1233
01-03-2013,1141
04-03-2013,1039
05-03-2013,1093
06-03-2013,1151
07-03-2013,1125
08-03-2013,1066
12-03-2013,1157
13-03-2013,1148
14-03-2013,1255
14-03-2013,1150
15-03-2013,1151
18-03-2013,1166
19-03-2013,1175
20-03-2013,1125
21-03-2013,1125
22-03-2013,1091
25-03-2013,1146
02-04-2013,1169
03-04-2013,1145
04-04-2013,1123
05-04-2013,1056
08-04-2013,928
09-04-2013,937
12-04-2013,885
15-04-2013,950
16-04-2013,938
17-04-2013,951
18-04-2013,941
22-04-2013,916
24-04-2013,916
25-04-2013,921
26-04-2013,921
29-04-2013,918
30-04-2013,951
02-05-2013,903
06-05-2013,1026
07-05-2013,1019
08-05-2013,1017
10-05-2013,1010
13-05-2013,990
14-05-2013,1001
15-05-2013,994
16-05-2013,998
17-05-2013,981
20-05-2013,999
21-05-2013,999
22-05-2013,1011
23-05-2013,1022
24-05-2013,1052
27-05-2013,1287
28-05-2013,1251
29-05-2013,1249
30-05-2013,1550
30-05-2013,1270
31-05-2013,1340
03-06-2013,1401
04-06-2013,1437
05-06-2013,1436
06-06-2013,1451
07-06-2013,1478
10-06-2013,1460
11-06-2013,1414
12-06-2013,1480
13-06-2013,1499
14-06-2013,1499
17-06-2013,1660
18-06-2013,1664
19-06-2013,1653
20-06-2013,2000
20-06-2013,1630
21-06-2013,1600
22-06-2013,1740
24-06-2013,1900
24-06-2013,1582
25-06-2013,1625
26-06-2013,1661
27-06-2013,1666
28-06-2013,1620
01-07-2013,2000
01-07-2013,1747
02-07-2013,1800
03-07-2013,1792
04-07-2013,1896
05-07-2013,1972
09-07-2013,2116
10-07-2013,2000
11-07-2013,2250
11-07-2013,2009
12-07-2013,2021
13-07-2013,2450
15-07-2013,2625
15-07-2013,2361
16-07-2013,2500
17-07-2013,2633
18-07-2013,2589
23-07-2013,2436
24-07-2013,2440
25-07-2013,2388
26-07-2013,2361
29-07-2013,2389
30-07-2013,2495
31-07-2013,2543
01-08-2013,2543
02-08-2013,2727
05-08-2013,3206
07-08-2013,3175
08-08-2013,3570
12-08-2013,4620
13-08-2013,4725
14-08-2013,4875
16-08-2013,4416
17-08-2013,4451
19-08-2013,3816
20-08-2013,3829
21-08-2013,4322
22-08-2013,5000
22-08-2013,4306
23-08-2013,4377
24-08-2013,4750
24-08-2013,4001
26-08-2013,4369
27-08-2013,3681
29-08-2013,4100
29-08-2013,3856
30-08-2013,4091
31-08-2013,4800
03-09-2013,4568
04-09-2013,4480
06-09-2013,4621
07-09-2013,4311
10-09-2013,4641
11-09-2013,4716
12-09-2013,4663
13-09-2013,5016
14-09-2013,5400
16-09-2013,6050
16-09-2013,5700
17-09-2013,5841
19-09-2013,6450
19-09-2013,5626
21-09-2013,5000
23-09-2013,5000
23-09-2013,4712
24-09-2013,5020
26-09-2013,5350
26-09-2013,4981
28-09-2013,5500
30-09-2013,5100
30-09-2013,4531
01-10-2013,3990
03-10-2013,4246
07-10-2013,4612
08-10-2013,4861
09-10-2013,4982
14-10-2013,5852
15-10-2013,5500
18-10-2013,6011
21-10-2013,5911
22-10-2013,5952
23-10-2013,5972
24-10-2013,5851
25-10-2013,6071
28-10-2013,5100
29-10-2013,5782
30-10-2013,5052
31-10-2013,5202
11-11-2013,5252
20-11-2013,815
24-01-2014,1119
01-02-2014,1000
03-02-2014,930
05-02-2014,732
06-02-2014,900
06-02-2014,881
08-02-2014,825
11-02-2014,820
14-02-2014,745
15-02-2014,800
15-02-2014,801
17-02-2014,738
18-02-2014,790
20-02-2014,812
21-02-2014,871
22-02-2014,855
24-02-2014,926
25-02-2014,941
26-02-2014,867
10-03-2014,1155
13-03-2014,905
15-03-2014,925
17-03-2014,1000
24-03-2014,1100
27-03-2014,1100
03-04-2014,1122
04-04-2014,1135
05-04-2014,1075
07-04-2014,1202
09-04-2014,1213
10-04-2014,1201
16-04-2014,1401
17-04-2014,1391
19-04-2014,1400
21-04-2014,1411
25-04-2014,1490
26-04-2014,1471
28-04-2014,1641
30-04-2014,1593
02-05-2014,1513
05-05-2014,1542
06-05-2014,1451
07-05-2014,1400
08-05-2014,1202
12-05-2014,1401
13-05-2014,1603
15-05-2014,1556
16-05-2014,1520
17-05-2014,1490
20-05-2014,1426
21-05-2014,1482
22-05-2014,1501
23-05-2014,1452
26-05-2014,1524
27-05-2014,1426
28-05-2014,1426
29-05-2014,1437
30-05-2014,1500
05-06-2014,1661
09-06-2014,1816
10-06-2014,1762
11-06-2014,1661
12-06-2014,1668
18-06-2014,1861
19-06-2014,1758
20-06-2014,1795
21-06-2014,1701
23-06-2014,1723
24-06-2014,1801
25-06-2014,2011
26-06-2014,2157
28-06-2014,2264
30-06-2014,2381
01-07-2014,2361
02-07-2014,2400
03-07-2014,2328
04-07-2014,2370
05-07-2014,3000
05-07-2014,2451
07-07-2014,3000
07-07-2014,2491
08-07-2014,2626
10-07-2014,2392
12-07-2014,2261
14-07-2014,2550
14-07-2014,2242
15-07-2014,2340
16-07-2014,2459
17-07-2014,2700
17-07-2014,2478
18-07-2014,2380
19-07-2014,2625
19-07-2014,2351
21-07-2014,2261
22-07-2014,2260
23-07-2014,2222
24-07-2014,2151
25-07-2014,2171
28-07-2014,2190
30-07-2014,2151
31-07-2014,2091
02-08-2014,2076
12-08-2014,4005
16-08-2014,2023
11-09-2014,1954
12-09-2014,1953
13-10-2014,1963
28-10-2014,2125
29-10-2014,2125
31-10-2014,1776
01-11-2014,1691
03-11-2014,1601
05-11-2014,1580
07-11-2014,1556
08-11-2014,1552
10-11-2014,1589
11-11-2014,1541
12-11-2014,1596
13-11-2014,2050
15-11-2014,1611
17-11-2014,1699
24-11-2014,1601
25-11-2014,1621
26-11-2014,1752
27-11-2014,1671
02-12-2014,1580
03-12-2014,1581
04-12-2014,1600
05-12-2014,1499
